localmappingnumber,kf_id,track_frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled,mean_reprojection_error,max_reprojection_error,optimization_time_ms,ba_executed,ba_aborted,ba_iters,tracking_lost,source,event_type,timestamp,rel_time_s,map_id,tracking_state,imu_initialized,ba_type,num_opt_kf,num_fixed_kf,num_mappoints,num_edges,visual_chi2_before,visual_chi2_after,imu_chi2_before,imu_chi2_after,imu_chi2_mean,imu_chi2_max,imu_rot_res_mean,imu_vel_res_mean,imu_pos_res_mean,gyro_rw_chi2,acc_rw_chi2,bias_delta_norm,velocity_delta_norm,pose_correction_trans_norm,pose_correction_rot_deg,init_scale,init_bg_norm,init_ba_norm,init_prior_g,init_prior_a,init_full_ba
23,22,369,1778812592072,2.377,2428,1133,0,0,0.6429,8.2480,11.405,1,0,3,0,LocalMapping,LOCAL_BA,1403715542.362143,18.450000,0,OK,no,LocalBundleAdjustment,6,12,1516,3089,0.648963,0.444974,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.038695,0.403483,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
24,23,416,1778812594562,3.787,2690,1368,0,0,0.5830,5.7234,16.261,1,0,8,0,LocalMapping,LOCAL_BA,1403715544.712143,20.800000,0,OK,no,LocalBundleAdjustment,5,5,1550,2905,0.580430,0.425271,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.022565,0.220287,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
25,24,441,1778812595877,2.945,2725,1204,0,0,0.6360,7.4775,12.399,1,0,3,0,LocalMapping,LOCAL_BA,1403715545.962143,22.050000,0,OK,no,LocalBundleAdjustment,6,5,1585,3175,0.566906,0.445117,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.015183,0.158259,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
26,25,456,1778812596691,3.137,2791,1144,0,0,0.7434,8.2690,24.292,1,0,4,0,LocalMapping,LOCAL_BA,1403715546.712143,22.800000,0,OK,no,LocalBundleAdjustment,12,14,2210,5228,0.562387,0.507678,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.012945,0.150658,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
27,26,470,1778812597439,3.130,2647,917,0,0,0.7748,8.1611,26.673,1,0,4,0,LocalMapping,LOCAL_BA,1403715547.412143,23.500000,0,OK,no,LocalBundleAdjustment,17,10,2286,6474,0.600030,0.524141,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.009575,0.096913,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
28,27,477,1778812597811,3.378,2718,957,0,0,0.7863,8.6245,28.242,1,0,4,0,LocalMapping,LOCAL_BA,1403715547.762143,23.850000,0,OK,no,LocalBundleAdjustment,20,9,2325,6472,0.557883,0.487299,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.014427,0.108352,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
29,28,481,1778812598015,2.798,2842,1014,0,0,0.7645,8.7179,23.715,1,0,3,0,LocalMapping,LOCAL_BA,1403715547.962143,24.050000,0,OK,no,LocalBundleAdjustment,17,10,2194,6078,0.537721,0.470712,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.005866,0.068528,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
30,29,489,1778812598442,4.008,2867,931,0,0,0.7872,8.2628,25.179,1,0,4,0,LocalMapping,LOCAL_BA,1403715548.362143,24.450000,0,OK,no,LocalBundleAdjustment,17,11,1995,5667,0.544632,0.481779,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.032363,0.612936,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
31,30,503,1778812599186,3.276,3153,1091,0,0,0.7609,8.2312,26.863,1,0,4,0,LocalMapping,LOCAL_BA,1403715549.062143,25.150000,0,OK,no,LocalBundleAdjustment,18,11,2281,6242,0.565249,0.484167,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.013746,0.234068,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
32,31,514,1778812599768,3.166,3381,1211,0,0,0.7343,8.2023,26.753,1,0,4,0,LocalMapping,LOCAL_BA,1403715549.612143,25.700000,0,OK,no,LocalBundleAdjustment,16,11,2365,6293,0.559325,0.481165,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.014896,0.290740,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
